items;lenItems;support;PBoarder;NBoarder
(0,);1;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(8,);1;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(8, 2);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(0, 2);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(8, 6);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 3, 5);3;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(8, 2, 6);3;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 3, 5, 6);4;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 5);2;0.45;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 5, 6);3;0.45;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(3, 5);2;0.5;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(3, 5, 6);3;0.5;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(5, 6);2;0.55;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(5,);1;0.6;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 3, 6);3;0.65;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 3);2;0.7;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(3, 6);2;0.75;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2, 6);2;0.75;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(3,);1;0.8;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(6,);1;0.85;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
(2,);1;0.85;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];
