@relation dm1

@attribute 1 {0, 1}
@attribute 2 {0, 1}
@attribute 3 {0, 1}
@attribute 4 {0, 1}
@attribute 5 {0, 1}
@attribute 6 {0, 1}
@attribute 7 {0, 1}
@attribute 8 {0, 1}
@attribute 9 {0, 1}
@attribute 10 {0, 1}
@attribute 11 {0, 1}
@attribute 12 {0, 1}
@attribute 13 {0, 1}
@attribute 14 {0, 1}
@attribute 15 {0, 1}
@attribute 16 {0, 1}
@attribute 17 {0, 1}
@attribute 18 {0, 1}
@attribute 19 {0, 1}
@attribute 20 {0, 1}
@attribute 21 {0, 1}
@attribute 22 {0, 1}
@attribute 23 {0, 1}
@attribute 24 {0, 1}
@attribute 25 {0, 1}
@attribute 26 {0, 1}
@attribute 27 {0, 1}
@attribute 28 {0, 1}
@attribute 29 {0, 1}
@attribute 30 {0, 1}
@attribute 31 {0, 1}
@attribute 32 {0, 1}
@attribute 33 {0, 1}
@attribute 34 {0, 1}
@attribute 35 {0, 1}
@attribute 36 {0, 1}
@attribute 37 {0, 1}
@attribute 38 {0, 1}
@attribute 39 {0, 1}
@attribute 40 {0, 1}
@attribute 41 {0, 1}
@attribute 42 {0, 1}
@attribute 43 {0, 1}
@attribute 44 {0, 1}
@attribute 45 {0, 1}
@attribute 46 {0, 1}
@attribute 47 {0, 1}
@attribute 48 {0, 1}
@attribute 49 {0, 1}
@attribute 50 {0, 1}

@data
1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1
1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1
1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1
1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1
