@relation movielens

@attribute age.1-24 {0, 1}
@attribute age.25-49 {0, 1}
@attribute age.50-74 {0, 1}
@attribute age.75-99 {0, 1}
@attribute gender.F {0, 1}
@attribute gender.M {0, 1}
@attribute occupation.administrator {0, 1}
@attribute genreUnkown.True {0, 1}
@attribute genreAction.True {0, 1}
@attribute genreAdventure.True {0, 1}
@attribute genreAnimation.True {0, 1}
@attribute genreChildren.True {0, 1}
@attribute genreComedy.True {0, 1}
@attribute genreCrime.True {0, 1}
@attribute genreDocumentary.True {0, 1}
@attribute genreDrama.True {0, 1}
@attribute genreFantasy.True {0, 1}
@attribute genreFilm-Noir.True {0, 1}
@attribute genreHorror.True {0, 1}
@attribute genreMusical.True {0, 1}
@attribute genreMystery.True {0, 1}
@attribute genreRomance.True {0, 1}
@attribute genreSci-Fi.True {0, 1}
@attribute genreThriller.True {0, 1}
@attribute genreWar.True {0, 1}
@attribute genreWestern.True {0, 1}
@attribute rating.1 {0, 1}
@attribute rating.2 {0, 1}
@attribute rating.3 {0, 1}
@attribute rating.4 {0, 1}
@attribute rating.5 {0, 1}

@data
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
