items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(0,);1;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(8,);1;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(8, 2);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(0, 2);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(8, 6);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(2, 3, 5);3;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(8, 2, 6);3;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(2, 3, 5, 6);4;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(2, 5);2;0.45;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
(2, 5, 6);3;0.45;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[[5], 12], [[3], 16], [[2, 3, 5, 6], 8], [[6], 17], [[2], 17], [[4], 7], [[3, 5, 6], 10], [[0, 2], 8], [[2, 5, 6], 9], [[8, 2, 6], 8], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[3, 6], 15], [[6], 17], [[5, 6], 11], [[2, 6], 15], [[3, 5], 10], [[8], 8], [[2, 3, 5], 8], [[4], 7], [[2, 3, 6], 13], [[2, 5], 9], [[2, 3], 14], [[2], 17], [[9], 6]];
